教材,年级,模块,单元,单词,音标,词义,例句,词性
外研版,一年级上,module5,unit1,bag,,包,,
外研版,一年级上,module6,unit1,schoolbag,,书包,,
外研版,一年级上,module6,unit1,book,,书,,
外研版,一年级上,module6,unit1,pen,,钢笔,,
外研版,一年级上,module6,unit1,pencil,,铅笔,,
外研版,一年级上,module6,unit1,ruler,,直尺,,
外研版,一年级上,module6,unit1,eraser,,橡皮,,
外研版,一年级上,module6,unit1,pencil case,,铅笔盒,,
外研版,一年级上,module6,unit1,crayon,,蜡笔,,
外研版,一年级上,module7,unit1,new,,新的,,
外研版,一年级上,module7,unit1,kite,,风筝,,
外研版,一年级上,module7,unit1,orange,,橙子 ,,
外研版,一年级上,module7,unit1,not,,不，不是,,
外研版,一年级上,module7,unit1,monkey,,猴子,,
外研版,一年级上,module7,unit1,monster,,怪物,,
外研版,一年级上,module7,unit1,help,,救命,,
外研版,一年级上,module7,unit1,house,,房屋，住宅,,
外研版,一年级上,module7,unit1,box,,箱，盒,,
外研版,一年级上,module8,unit1,how many,,多少,,
外研版,一年级上,module8,unit1,one,,一，1,,
外研版,一年级上,module8,unit1,two,,二，2,,
外研版,一年级上,module8,unit1,three,,三，3,,
外研版,一年级上,module8,unit1,four,,四，4,,
外研版,一年级上,module8,unit1,count,,数,,
外研版,一年级上,module8,unit1,say,,说,,
外研版,一年级上,module8,unit1,five,,五，5,,
外研版,一年级上,module8,unit1,six,,六，6,,
外研版,一年级上,module8,unit1,seven,,七，7,,
外研版,一年级上,module8,unit1,eight,,八，8,,
外研版,一年级上,module8,unit1,nine,,九，9,,
外研版,一年级上,module8,unit1,ten,,十，10,,
外研版,一年级上,module8,unit1,pink,,粉色，粉色的,,
外研版,一年级上,module8,unit1,ball,,球,,
外研版,一年级上,module8,unit1,sorry,,对不起,,
外研版,一年级上,module8,unit1,many,,许多,,
外研版,一年级上,module8,unit1,brown,,棕色，棕色的,,
外研版,一年级上,module9,unit1,how old,,多大,,
外研版,一年级上,module9,unit1,are,,是,,
外研版,一年级上,module9,unit1,too,,也,,
外研版,一年级上,module9,unit1,happy,,快乐的,,
外研版,一年级上,module9,unit1,birthday,,生日,,
外研版,一年级上,module9,unit1,but,,但是，可是,,
外研版,一年级上,module9,unit1,for,,为，给，对,,
外研版,一年级上,module9,unit1,you're welcome,,不客气！,,
外研版,一年级上,module10,unit1,father,,父亲,,
外研版,一年级上,module10,unit1,daddy,,爸爸,,
外研版,一年级上,module10,unit1,mother,,母亲,,
外研版,一年级上,module10,unit1,grandpa,,祖父，外祖父,,
外研版,一年级上,module10,unit1,grandma,,祖母，外祖母,,
外研版,一年级上,module10,unit1,friend,"英[frend]美[frend]",朋友,,
外研版,一年级上,module10,unit1,his,,他的,,
外研版,一年级上,module10,unit1,car,,汽车，轿车,,
外研版,一年级上,module10,unit1,sister,,姐妹,,
外研版,一年级上,module10,unit1,brother,,兄弟,,
外研版,一年级上,module10,unit1,her,,她的,,
外研版,一年级下,module1,unit1,he,,他（他是）,he's = he is,
外研版,一年级下,module1,,doctor,,医生,,
外研版,一年级下,module1,,she,,她（她是）,,
外研版,一年级下,module1,,me,,（宾格）我,,
外研版,一年级下,module1,,nurse,,护士,,
外研版,一年级下,module1,,driver,,司机,,
外研版,一年级下,module1,,policeman,,警察,,
外研版,一年级下,module1,,pupil,,学生，小学生,,
外研版,一年级下,module2,,where,,哪里（在哪里）,,
外研版,一年级下,module2,,in,,在。。。里,,
外研版,一年级下,module2,,on,,在。。。上,,
外研版,一年级下,module2,,hat,,帽子,,
外研版,一年级下,module2,,under,,在。。。下,,
外研版,一年级下,module2,,toy,,玩具,,
外研版,一年级下,module2,,bed,,床,,
外研版,一年级下,module2,,look at,,看,,
外研版,一年级下,module2,,bear,,熊,,
外研版,一年级下,module3,,eleven,,十一,,
外研版,一年级下,module3,,twelve,,十二,,
外研版,一年级下,module3,,don't,,不,,
外研版,一年级下,module3,,know,,知道,,
外研版,一年级下,module3,,other,,其他的,,
外研版,一年级下,module3,,fish,,鱼,,
外研版,一年级下,module3,,tree,,树,,
外研版,一年级下,module3,,let's,,让我们,,
外研版,一年级下,module4,,head,,头,,
外研版,一年级下,module4,,touch,,触摸,,
外研版,一年级下,module4,,nose,,鼻子,,
外研版,一年级下,module4,,face,,脸,,
外研版,一年级下,module4,,ear,,耳朵,,
外研版,一年级下,module4,,mouth,,嘴,,
外研版,一年级下,module4,,eye,,眼睛,,
外研版,一年级下,module4,,body,,身体,,
外研版,一年级下,module4,,these,,这些,,
外研版,一年级下,module4,,leg,,腿,,
外研版,一年级下,module4,,hand,,手,,
外研版,一年级下,module4,,feet,,脚，足,,
外研版,一年级下,module4,,baby,,婴儿,,
外研版,一年级下,module5,,they,,他（她、它）们,,
外研版,一年级下,module5,,they're,,他（她、它）们是,,
外研版,一年级下,module5,,cow,,奶牛,,
外研版,一年级下,module5,,pig,,猪,,
外研版,一年级下,module5,,farm,,农场,,
外研版,一年级下,module5,,duck,,鸭子,,
外研版,一年级下,module5,,chicken,,鸡,,
外研版,一年级下,module5,,egg,,鸡蛋，蛋,,
外研版,一年级下,module5,,thin,,瘦的,,
外研版,一年级下,module5,,very,,很，非常,,
外研版,一年级下,module5,,fat ,,胖的,,
外研版,一年级下,module5,,big,,大的,,
外研版,一年级下,module5,,little,,小的,,
外研版,一年级下,module6,,snake,,蛇,,
外研版,一年级下,module6,,short,,矮的，短的,,
外研版,一年级下,module6,,small,,小的,,
外研版,一年级下,module6,,elephant,,大象,,
外研版,一年级下,module6,,go,,去,,
外研版,一年级下,module6,,zoo,,动物园,,
外研版,一年级下,module6,,long,,长的,,
外研版,一年级下,module6,,giraffe,,长颈鹿,,
外研版,一年级下,module6,,tall,,高的,,
外研版,一年级下,module6,,tiger,,老虎,,
外研版,一年级下,module6,,cute,,可爱的，乖巧的,,
外研版,一年级下,module6,,strong,,强壮的,,
外研版,一年级下,module6,,horse,,马,,
外研版,一年级下,module6,,aren't,,不，不是,,
外研版,一年级下,module7,,there is,,有，存在,,
外研版,一年级下,module7,,animal,,动物,,
外研版,一年级下,module7,,can,,可以，能,,
外研版,一年级下,module7,,see,,看见,,
外研版,一年级下,module7,,there are,,有，存在,,
外研版,一年级下,module7,,help,,帮助,,
外研版,一年级下,module7,,over there,,在那边,,
外研版,一年级下,module7,,table,,桌子,,
外研版,一年级下,module7,,we,,我们,,
外研版,一年级下,module7,,miaow,,（猫）喵喵叫,,
外研版,一年级下,module7,,some,,一些,,
外研版,一年级下,module7,,at,,在,,
外研版,一年级下,module8,,a pair of,,一双。。。，一对。。。,,
外研版,一年级下,module8,,shorts,,短裤,,
外研版,一年级下,module8,,shirt,,衬衫,,
外研版,一年级下,module8,,shoe,,鞋子,,
外研版,一年级下,module8,,swim,,游泳,,
外研版,一年级下,module8,,OK,,行，好,,
外研版,一年级下,module8,,sock,,短袜,,
外研版,一年级下,module8,,put on ,,穿上，戴上,,
外研版,一年级下,module8,,clothes,,衣服,,
外研版,一年级下,module8,,here,,这里,,
外研版,一年级下,module8,,football,,足球,,
外研版,一年级下,module8,,basketball,,篮球,,
外研版,一年级下,module8,,ping-pong,,乒乓球,,
外研版,一年级下,module9,,like,,喜欢,,
外研版,一年级下,module9,,lion,,狮子,,
外研版,一年级下,module9,,them,,（宾格）他（她，它）们,,
外研版,一年级下,module9,,all,,全部，所有,,
外研版,一年级下,module9,,play,,参加，玩耍,,
外研版,一年级下,module9,,with,,用。。。,,
外研版,一年级下,module9,,together,,一起,,
外研版,一年级下,module9,,favourite,,最喜欢的，最喜爱的,,
外研版,一年级下,module9,,sport,,运动,,
外研版,一年级下,module9,,guess,,猜,,
外研版,一年级下,module9,,meatball,,肉丸子,,
外研版,一年级下,module9,,What about,,。。。怎么样,,
外研版,一年级下,module9,,swimming,,游泳,,
外研版,一年级下,module10,,idea,,主意，想法,,
外研版,一年级下,module10,,hot,,热的,,
外研版,一年级下,module10,,go swimming,,去游泳,,
外研版,一年级下,module10,,sing,,唱，唱歌,,
外研版,一年级下,module10,,dance,,跳舞,,
外研版,一年级下,module10,,tired,,累的，疲惫的,,
外研版,二年级上,module1,,song,,歌曲,,
外研版,二年级上,module1,,come on,,加油，快点,,
外研版,二年级上,module1,,team,,球队，运动队,,
外研版,二年级上,module2,,meat,,肉,,
外研版,二年级上,module2,,noodles,,（常复）面条,,
外研版,二年级上,module2,,rice,,米饭,,
外研版,二年级上,module2,,sweets,,（常复）糖果,,
外研版,二年级上,module2,,children,,（child的复数）孩子们,,
外研版,二年级上,module2,,ginger,,姜,,
外研版,二年级上,module2,,nice,,好的,,
外研版,二年级上,module2,,mm,,_,,
外研版,二年级上,module2,,onion,,洋葱,,
外研版,二年级上,module2,,ice cream,,冰淇淋,,
外研版,二年级上,module3,,banana,,香蕉,,
外研版,二年级上,module3,,apple,,苹果,,
外研版,二年级上,module3,,milk,,奶，牛奶,,
外研版,二年级上,module3,,orange,,柑橘，橙,,
外研版,二年级上,module3,,fruit,,水果,,
外研版,二年级上,module3,,milkshake,,奶昔,,
外研版,二年级上,module3,,Here you are,,给你,,
外研版,二年级上,module3,,everything,,每件事，所有事物,,
外研版,二年级上,module3,,tomato,,番茄，西红柿,,
外研版,二年级上,module3,,really,,很，非常,,
外研版,二年级上,module3,,their,,他（她、它）们的,,
外研版,二年级上,module3,,favourite,,最喜欢的事物,,
外研版,二年级上,module4,,T-shirt,,T恤衫,,
外研版,二年级上,module4,,here's,,这是,,
外研版,二年级上,module4,,hm,,嗯，唔,,
外研版,二年级上,module4,,dress,,连衣裙,,
外研版,二年级上,module4,,too,,太。。。,,
外研版,二年级上,module4,,one,,一个,,
外研版,二年级上,module4,,doesn't,,不,,
外研版,二年级上,module4,,trousers,,裤子,,
外研版,二年级上,module4,,party,,聚会,,
外研版,二年级上,module5,,get up,,起床,,
外研版,二年级上,module5,,poster,,海报，招贴画,,
外研版,二年级上,module5,,go to school,,去上学,,
外研版,二年级上,module5,,have,,吃，喝,,
外研版,二年级上,module5,,lunch,,午餐,,
外研版,二年级上,module5,,have lunch,,吃午餐,,
外研版,二年级上,module5,,home,,家,,
外研版,二年级上,module5,,go home,,回家,,
外研版,二年级上,module5,,watch,,观看,,
外研版,二年级上,module5,,TV,,电视,,
外研版,二年级上,module5,,watch TV,,看电视,,
外研版,二年级上,module6,,on,,在。。。的时候,,
外研版,二年级上,module6,,Sunday,,星期日,,
外研版,二年级上,module6,,park,,公园,,
外研版,二年级上,module6,,great,,太好了，好极了,,
外研版,二年级上,module6,,goal,,进球，得分,,
外研版,二年级上,module6,,hooray,,好，好哇,,
外研版,二年级上,module6,,live,,居住,,
外研版,二年级上,module6,,moon,,月亮,,
外研版,二年级上,module6,,sky,,天，天空,,
外研版,二年级上,module6,,city,,城市,,
外研版,二年级上,module7,,how,,怎样，如何,,
外研版,二年级上,module7,,train,,火车,,
外研版,二年级上,module7,,chug,,（发动机）发出咔嚓声,,
外研版,二年级上,module7,,bus,,公共汽车,,
外研版,二年级上,module7,,beep,,(汽车喇叭）嘟嘟声,,
外研版,二年级上,module7,,by,,乘，坐（交通工具）,,
外研版,二年级上,module7,,walk,,步行,,
外研版,二年级上,module7,,How about,,。。。怎么样,,
外研版,二年级上,module7,,goes,,（go的第三人称单数形式）去,,
外研版,二年级上,module7,,work,,工作地点，工作,,
外研版,二年级上,module7,,go to work,,去上班,,
外研版,二年级上,module7,,bike,,自行车,,
外研版,二年级上,module7,,with,,与。。。在一起，同，跟，和,,
外研版,二年级上,module7,,run,,跑，奔跑,,
外研版,二年级上,module7,,holiday,,假期,,
外研版,二年级上,module7,,on holiday,,度假,,
外研版,二年级上,module7,,then,,然后,,
外研版,二年级上,module7,,ship,,轮船,,
外研版,二年级上,module7,,plane,,飞机,,
外研版,二年级上,module7,,love,,喜爱,,
外研版,二年级上,module8,,watches,,观看,,
外研版,二年级上,module8,,weekend,,周末,,
外研版,二年级上,module8,,read,,阅读,,
外研版,二年级上,module8,,come on,,来,,
外研版,二年级上,module8,,play,,演奏（乐器）,,
外研版,二年级上,module8,,piano,,钢琴,,
外研版,二年级上,module8,,music,,音乐,,
外研版,二年级上,module8,,listen,,听,,
外研版,二年级上,module8,,listen to,,听。。。,,
外研版,二年级上,module8,,CD,,激光唱片,,
外研版,二年级上,module8,,drum,,鼓,,
外研版,二年级上,module9,,winter,,冬天,,
外研版,二年级上,module9,,fly,,放飞（风筝）,,
外研版,二年级上,module9,,in,,在。。。期间，在。。。时候,,
外研版,二年级上,module9,,spring,,春天,,
外研版,二年级上,module9,,summer,,夏天,,
外研版,二年级上,module9,,autumn,,秋天,,
外研版,二年级上,module9,,skating,,滑冰,,
外研版,二年级上,module9,,go skating,,去滑冰,,
外研版,二年级上,module9,,warm,,温暖的,,
外研版,二年级上,module9,,wear,,穿，戴,,
外研版,二年级上,module9,,jacket,,夹克，短上衣,,
外研版,二年级上,module9,,sunglasses,,太阳镜,,
外研版,二年级上,module9,,cool,,凉爽的，酷的,,
外研版,二年级上,module9,,sweater,,毛线衫,,
外研版,二年级上,module9,,glove,,手套,,
外研版,二年级上,module9,,cold,,寒冷的,,
外研版,二年级上,module9,,coat,,外套,,
外研版,二年级上,module10,,year,,年，年份,,
外研版,二年级上,module10,,Happy New Year,,新年快乐,,
外研版,二年级上,module10,,come in,,进来,,
外研版,二年级上,module10,,present,,礼物,,
外研版,二年级上,module10,,dumpling,,水饺,,
外研版,二年级上,module10,,eat,,吃,,
外研版,二年级上,module10,,Chinese,,中国的,,
外研版,二年级上,module10,,hair,,头发,,
外研版,二年级上,module10,,firecracker,,鞭炮，爆竹,,
外研版,二年级上,module10,,have,,有,,
外研版,二年级上,module10,,Christmas,,圣诞节,,
外研版,二年级上,module10,,wish,,祝，祝愿,,
外研版,二年级上,module10,,dinner,,正餐，主餐,,
